"date";"hour";"lat";"lon";"alt";"speed";"course";"type";"dist";"essential";"id";"datetime";"as.numeric(tps.cum)";"as.numeric(tps.unit)";"dist.nid";"dist.unit";"speed.ms";"speed.kmh";"trip";"vol"
"2017/04/24";" 06:50:50";-3.817845;-32.388367;5.83;32148;27;0;57.8;1;6060;2017-04-24 06:50:50;63468;11;337.485281167001;57.7937411086515;5.25397646442286;18.9143152719223;NA;2
"2017/04/24";" 06:51:01";-3.816481;-32.387798;9.47;41112;23;0;164.28;1;6061;2017-04-24 06:51:01;63479;11;433.039701633442;164.252565119775;14.932051374525;53.7553849482901;NA;2
"2017/04/24";" 06:51:12";-3.815304;-32.387146;14.07;38808;44;0;149.54;1;6062;2017-04-24 06:51:12;63490;11;557.664205939689;149.509898515102;13.5918089559183;48.930512241306;NA;2
"2017/04/24";" 06:51:22";-3.814884;-32.386333;17.52;34344;53;0;101.57;1;6063;2017-04-24 06:51:22;63500;10;658.932348202069;101.555521855584;10.1555521855584;36.5599878680103;NA;2
"2017/04/24";" 06:51:33";-3.814483;-32.38562;35.98;25776;71;0;90.81;1;6064;2017-04-24 06:51:33;63511;11;749.677327794492;90.7909692322526;8.25372447565932;29.7134081123736;NA;2
"2017/04/24";" 06:51:43";-3.81413;-32.384716;43.11;48240;71;0;107.7;1;6065;2017-04-24 06:51:43;63521;10;856.006840220713;107.685201073891;10.7685201073891;38.7666723866008;NA;2
"2017/04/24";" 06:51:54";-3.813791;-32.383476;45.26;43524;74;0;142.65;1;6066;2017-04-24 06:51:54;63532;11;994.693188139559;142.621336144602;12.9655760131456;46.6760736473242;NA;2
"2017/04/24";" 06:52:04";-3.813627;-32.382542;50.81;33876;77;0;105.22;1;6067;2017-04-24 06:52:04;63542;10;1095.30960941299;105.199537363852;10.5199537363852;37.8718334509868;1;2
"2017/04/24";" 06:52:15";-3.812889;-32.381729;55.35;40824;27;0;121.94;1;6068;2017-04-24 06:52:15;63553;11;1212.88535000016;121.922783208229;11.0838893825663;39.9020017772387;1;2
"2017/04/24";" 06:52:25";-3.811299;-32.381805;60.57;51948;4;0;177;1;6069;2017-04-24 06:52:25;63563;10;1297.63319161423;176.970482344286;17.6970482344286;63.709373643943;1;2
"2017/04/24";" 06:52:36";-3.810385;-32.381107;63.2;55548;32;0;127.77;1;6070;2017-04-24 06:52:36;63574;11;1419.76790664555;127.753342117203;11.613940192473;41.8101846929027;1;2
